RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER,,
45,RINCOME RESTAURANT,38749,3030 COLUMBIA PIKE,ARLINGTON,VA,22204,LICENSEE ALLOWED CONSUMPTION OF A/B BY AN EMPLOYEE WHILE ON DUTY,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/15/2011,N,5/12/2011,,,7/28/2011,, $ 500.00 ,,,,,,,
393,PIKE RESTAURANT,12842,4111 COLUMBIA PIKE,ARLINGTON,VA,22204,UAB,1,Y,ALEXANDRIA,INITIAL HEARING,9/17/2011,N,9/30/2011,10/25/2011,11/30/2011,1/18/2012,25," $ 2,000.00 ",,,,,,,
197,SUPER GIANT 0774,69045,2515 COLUMBIA PIKE,ARLINGTON,VA,22204,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2011,N,9/30/2011,,,11/4/2011,," $ 2,000.00 ",,,,,,,
217,7 ELEVEN STORE 17017-A,69348,5839 N WASHINGTON BOULEVARD,ARLINGTON,VA,22205,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/17/2011,N,10/17/2011,,,11/15/2011,," $ 2,000.00 ",,,,,,,
168,SAMUEL BECKETTS IRISH GASTRO PUB,64425,"2800 S RANDOLPH STRET, SPC 160",ARLINGTON,VA,22206,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2011,N,10/3/2011,,,10/25/2011,," $ 2,000.00 ",,,,,,,
7,COURTYARD ALEXANDRIA PENTAGON SOUTH,45424,4641 KENMORE AVE.,ALEXANDRIA,VA,22304,"LICENSEE FAILED TO TIMELY SUBMIT TO THE BOARD THE ANNUAL REVIEW FOR YEAR ENDING JAN. 31, 2011; LICENSEE FAILED TO SUBMIT A COMPLETE AND ACCURATE ANNUAL REPORT FOR THE YEAR ENDING JAN. 31, 2011.",2,N,ALEXANDRIA,CONSENT SETTLEMENT,1/1/2011,N,5/26/2011,,,7/11/2011,," $ 1,000.00 ",,,,,,,
144,HANA TOKYO,17206,4603 DUKE STREET,ALEXANDRIA,VA,22304,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,8/17/2011,N,9/8/2011,,,10/11/2011,," $ 2,000.00 ",,,,,,,
83,GIANT FOOD STORE #760,7817,6800 RICHMOND HIGHWAY,ALEXANDRIA,VA,22306,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,6/15/2011,N,7/7/2011,,,8/9/2011,," $ 2,000.00 ",,,,,,,
566,MIGUELITO CHICKEN,78024,"6333 S KINGS HWY, STE C",ALEXANDRIA,VA,22306,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,10/31/2011,N,1/19/2012,2/16/2012,3/29/2012,5/1/2012,15," $ 1,500.00 ",,,,,,,
39,MARGARITAS GROCERY,12785,8512 RICHMOND HIGHWAY,ALEXANDRIA,VA,22309,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,6/15/2011,N,6/30/2011,,,7/28/2011,," $ 2,000.00 ",,,,,,,
347,KIMICHI HOUSE,61337,8537 RICHMOND HIGHWAY,ALEXANDRIA,VA,22309,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/5/2011,N,11/23/2011,,,1/3/2012,25,,,,,,,,
204,KUMO ASIAN BISTRO,66115,7025 MANCHESTER BOULEVARD SUITE F,ALEXANDRIA,VA,22310,UAB,1,N,ALEXANDRIA,APPEAL HEARING,3/26/2011,N,4/28/2011,6/23/2011,7/21/2011,11/4/2011,," $ 1,500.00 ",,,,,RSVP TRAINING WITHIN 6 MOS. OF BD. ORDER ,,
401,SHOPPERS FOOD WAREHOUSE #2652,9413,6200 A LITTLE RIVER TPK,ALEXANDRIA,VA,22312,UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,8/25/2011,N,9/15/2011,10/24/2011,11/30/2011,1/11/2012,," $ 5,000.00 ",3,,,,,,
452,BANG GA NAE,69448,6499 LITTLE RIVER TURNPIKE,ALEXANDRIA,VA,22312,"LICENSE PURCHASED ALCOHOLIC BEVERAGES FOR RESALE FROM A PERSON OTHER THAN A MANUFACTURER, BOTTLER OR WHOLESALER",1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/4/2012,N,1/18/2012,,,2/10/2012,, $ 500.00 ,,,,,,,
117,DELIAS PIZZERIA AND MEDITERRANEAN Grille,53740,211 SWAMP FOX ROAD,ALEXANDRIA,VA,22314,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/17/2011,N,8/26/2011,,,9/23/2011,," $ 2,000.00 ",,,,,,,
119,RUSSIAN GOURMET,43331,907 SLATERS LANE,ALEXANDRIA,VA,22314,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/17/2011,N,8/25/2011,,,9/23/2011,," $ 2,000.00 ",,,,,,,
417,ESMERALDA RESTAURANT,35774,728 N HENRY STREET,ALEXANDRIA,VA,22314,LICENSEE ISSUED A CHECK WHICH WAS DISHONORED UPON PRESENTATION TO THE BANK,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/8/2011,N,12/28/2011,,,1/23/2012,, $ 250.00 ,,,,,,,
11,ASIA BISTRO,44888,3140 COWAN BOULEVARD,FREDERICKSBURG,VA,22401,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,5/16/2011,N,5/24/2011,,,4/11/2011,," $ 2,000.00 ",,,,,,,
35,RT 1 SUNOCO,55569,2307 JEFFERSON DAVIS HIGHWAY,FREDERICKSBURG,VA,22401,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,6/7/2011,N,6/23/2011,,,7/25/2011,," $ 2,000.00 ",,,,,,,
510,FOODE,66364,"1006 CAROLINE STREET, SUITE C",FREDERICKSBURG,VA,22401,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,2/8/2012,N,2/22/2012,,,3/27/2012,," $ 2,000.00 ",,,,,,,
25,MISO ASIAN GRILL & SUSHI BAR,64402,1305 JEFFERSON DAVIS HIGHWAY,FREDERICKSBURG,VA,22401,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,5/31/2011,N,6/22/2011,,,7/19/2011,," $ 2,000.00 ",,,,,,,
116,STAFFORD LIBERTY,40341,1280 JEFFERSON DAVIS HWY,FREDERICKSBURG,VA,22405,UAB,1,N,RICHMOND,INITIAL HEARING,6/14/2011,N,6/23/2011,7/28/2011,8/11/2011,9/15/2011,,,,,,Y,,,
245,KABOB CITY,69544,735 WARRENTON RD,FREDERICKSBURG,VA,22406,"MOHAMMAD SULTANY HAS BEEN CONVICTED WITHIN 5 YEARS PRECEDING THE DATE OF APLICATION OF A LAW APPLICABLE TO MANUFACTURE, TRANSPORTATION, POSSESSION USE OR SALE OF ALCOHOLIC BEVERAGES",1,N,RICHMOND,INITIAL HEARING,10/14/2011,N,10/18/2011,10/31/2011,11/15/2011,11/29/2011,,,,36,,,APPLICATION - GRANTED,,
499,FIELD HOUSE PIZZA PUB,65644,"736 WARRENTON ROAD, SUITE 105",FREDERICKSBURG,VA,22406,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,2/8/2012,N,2/22/2012,,,3/20/2012,," $ 2,000.00 ",,,,,,,
576,POTOMAC SELECTIONS INC.,63642,39 MCWHIRT LOOP STE. 108,FREDERICKSBURG,VA,22406,"SOLD WINE WITH OUT FIRST OBTAINING APPROVAL BY THE BOARD AS TO CONTENT, CONTAINER, AND LABEL",1,N,RICHMOND,OFFER IN COMPROMISE,4/30/2011,Y,3/27/2012,,,5/16/2012,," $ 5,000.00 ",,,,,,,
266,TASTE OF CHINA II,68491,5030 PLANK ROAD,FREDERICKSBURG,VA,22407,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,10/25/2011,N,11/8/2011,,,12/6/2011,25,,,,,,,,
578,BRAVO CUCINA ITALIANA,56634,"1 TOWNE CENTRE BLVD, SUITE 3500",FREDERICKSBURG,VA,22407,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,4/4/2012,N,4/23/2012,,,5/16/2012,," $ 2,000.00 ",,,,,,,
617,NIMIS MART,51539,16392 RICHMOND TPKE,BOWLING GREEN,VA,22427,UAB,1,N,RICHMOND,OFFER IN COMPROMISE,4/21/2012,N,5/8/2012,,,6/1/2012,," $ 1,500.00 ",,,,,RSVP TRAINING,,
260,GET & ZIP CONVENIENCE STORES #7,7259,901 MCKINNEY BOULEVARD,COLONIAL BEACH,VA,22443,UAB,1,Y,RICHMOND,CONSENT SETTLEMENT,10/14/2011,N,10/27/2011,,,12/1/2011,," $ 2,000.00 ",,,,,,,
261,TIDES INN MARKET,65108,200 IRVING AVENUE N,COLONIAL BEACH,VA,22443,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,10/14/2011,N,10/31/2011,,,12/1/2011,," $ 2,000.00 ",,,,,,,
482,INGLESIDE PLANTATION VINEYARDS,29715,5872 LEEDSTOWN ROAD,OAK GROVE,VA,22443,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,2/6/2012,N,2/13/2012,,,3/7/2012,," $ 2,000.00 ",,,,,,,
281,E & C ENTERPRISES INC VA644,62481,3531 IRVINGTON ROAD,IRVINGTON,VA,22480,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,10/28/2011,N,11/15/2011,,,12/8/2011,," $ 2,000.00 ",,,,,,,
10,COASTAL,56063,18414 JEFFERSON DAVIS HIGHWAY,LADYSMITH,VA,22501,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,6/2/2011,N,6/13/2011,,,7/11/2011,," $ 2,000.00 ",,,,,,,
198,FAREWAYS,10511,102 LAKEVIEW PARKWAY,LOCUST GROVE,VA,22508,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,9/30/2011,N,10/5/2011,,,11/4/2011,25,,,,,,,,
521,ELENIS RESTAURANT,67858,"5390 LYNDON DRIVE, SUITE 3",LOCUST GROVE,VA,22508,LICENSEE PERMITTED CONSUMPTION OF ALCOHOLIC BEVERAGES ON PREMIESES BY AN INTOXICATED PERSON,1,N,STAUNTON,CONSENT SETTLEMENT,2/17/2012,N,2/28/2012,,,4/3/2012,," $ 2,000.00 ",,,,,,,
310,WINGS TO GO,64776,10421 COURTHOUSE ROAD,SPOTSYLVANIA,VA,22553,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,10/25/2011,N,11/8/2011,,,12/15/2011,25,,,,,,,,
90,7 ELEVEN STORE 33701-A,68366,2996 JEFFERSON DAVIS HWY.,STAFFORD,VA,22554,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,6/14/2011,N,6/17/2011,,,8/17/2011,," $ 2,000.00 ",,,,,,,
156,7 ELEVEN STORE 16938B,61523,2143 JEFFERSON DAVIS HWY,STAFFORD,VA,22554,UAB,1,N,RICHMOND,INITIAL HEARING,6/14/2011,N,7/20/2011,9/8/2011,9/9/2011,10/13/2011,,,,,,,WITHDRAWN,,
213,LAST STOP MART,65311,3315 JEFFERSON DAVIS HWY,STAFFORD,VA,22554,UAB,1,N,RICHMOND,INITIAL HEARING,6/14/2011,N,7/20/2011,9/8/2011,10/14/2011,11/16/2011,5," $ 1,000.00 ",,,,,,,
544,BUFFALO MOS TAP & GRILL,7885,33 WICOMICO DR,STAFFORD,VA,22554,FAILED TO TIMELY SUBMIT MBAR,1,N,RICHMOND,INITIAL HEARING,12/13/2011,N,1/30/2012,2/21/2012,3/7/2012,4/17/2012,7, $ 500.00 ,,,,,,,
255,BUOY 17 SEAFOOD RESTAURANT,65346,1309 TAPPAHANNOCK BOULEVARD,TAPPAHANNOCK,VA,22560,FINANCIAL RESPONSIBILITY; LICENSEE NOT LEGITIMATE OWNER; LICENSEE DEFRAUDED OR ATTEMPTED TO DEFRAUD THE BOARD ,3,N,RICHMOND,APPEAL HEARING,7/1/2010,N,5/26/2011,6/16/2011,6/30/2011,12/1/2011,,,,,Y,Y,,,
41,CVS PHARMACY #3396,67346,902 GARRISONVILLE ROAD,STAFFORD,VA,22566,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,6/21/2011,N,7/8/2011,,,7/28/2011,," $ 2,000.00 ",,,,,,,
186,MARSHALL FARMS NATURAL CHEESE,31851,24109 CONSTITUTION HIGHWAY,UNIONVILLE,VA,22567,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,9/30/2011,N,10/5/2011,,,10/27/2011,25,,,,,,,,
2,THOMAS STORE,38315,8249 HISTORY LAND HIGHWAY,WARSAW,VA,22572,UAB,1,Y,RICHMOND,CONSENT SETTLEMENT,5/26/2011,N,6/7/2011,,,7/6/2011,," $ 2,000.00 ",,,,,,,
5,CHARLIES TIKI BAR AND GRILL,62095,40 WINDJAMMER LANE,WHITE STONE,VA,22578,"FAILED TO TIMELY SUBMIT TO BOARD THE ANNUAL REVIEW REPORT OF YEAR ENDING FEB. 28, 2011",1,N,RICHMOND,CONSENT SETTLEMENT,2/28/2011,N,6/9/2011,,,7/11/2011,, $ 500.00 ,,,,,,,
141,MI SALVADOR GROCERY & DELI STORE,39918,930 BERRYVILLE AVE,WINCHESTER,VA,22601,ALLOWED INTOXICATED PERSON TO LOITER; ALLOWED CONSUMPTION OF ALCOHOLIC BEVERAGE BY INTOXICATED PERSON,2,N,STAUNTON,INITIAL HEARING,3/20/2011,N,5/13/2011,7/27/2011,8/30/2011,10/5/2011,25," $ 2,000.00 ",,,,,,,
210,TGI FRIDAY'S,50045,111 E. TEVIS STREET,WINCHESTER,VA,22601,ADVERTISED HAPPY HOUR CONTRARY TO RULES AND REGULATIONS,1,N,STAUNTON,OFFER IN COMPROMISE,8/9/2011,Y,8/11/2011,,,11/10/2011,3, $ 500.00 ,,,,,,,
325,HANDY MART #17,67209,1208 BERRYVILLE AVENUE,WINCHESTER,VA,22601,UAB,1,N,STAUNTON,OFFER IN COMPROMISE,11/9/2011,N,11/22/2011,,,12/16/2011,15," $ 1,000.00 ",,,,,,,
341,CAMERON STREET MARKET,76304,123 N CAMERON STREET,WINCHESTER,VA,22601,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,11/23/2011,N,12/2/2011,,,1/3/2012,25,,,,,,,,
356,ICHIBAN JAPANESE STEAK & SEAFOOD HOUSE,4936,2058 S PLEASANT VALLEY ROAD,WINCHESTER,VA,22601,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,11/28/2011,N,12/6/2011,,,1/3/2012,," $ 2,000.00 ",,,,,,,
457,RESTAURANT & TAQUERIA LOS COMPADRES,43495,222 E. PICCADILLY ST.,WINCHESTER,VA,22601,FAILED TO SUBMIT MBAR,1,Y,STAUNTON,INITIAL HEARING,9/1/2011,N,11/14/2011,12/6/2011,1/11/2012,2/15/2012,10," $ 1,200.00 ",,,,,,,
134,ALOFT WINCHESTER,64014,1055 MILLWOOD PIKE,WINCHESTER,VA,22602,ESTABLISHMENT CEASES TO QUALIFY AS A RESTAURANT,1,N,STAUNTON,INITIAL HEARING,2/28/2010,Y,4/19/2011,7/26/2011,8/29/2011,9/30/2011,,,,6,,,,,
142,EAST SIDE RAW BAR & GRILL,51149,1815 MILLWOOD PIKE,WINCHESTER,VA,22602,UAB,1,N,STAUNTON,INITIAL HEARING,6/21/2011,N,7/7/2011,7/27/2011,8/30/2011,10/5/2011,25," $ 2,000.00 ",,,,,,,
331,KYSELA PETE ET FILS,73088,130 W5 12 & 12A WINDY HILL AVENUE,WINCHESTER,VA,22602,"BETWEEN OCTOBER15,2007 & MARCH 31,2011, THE LICENSEE DEFRAUDED THE BOARD BY MAKING OF FILING A REPORT REQUIRED BY STATUE WHICH IS FRAUDULENT OR CONTAINS A FLASE REPRESENTATION OF A MATERIAL FACT; SOLD WINE TO RETAIL LICENSEE AND FAILED TO PAY THE STATE WINE TAX; FAILED TO KEEP COMPLETE, ACCURATE AND SEPARATE RECORDS; SOLD WINE TO UNAUTHORIZED PERSONS",4,N,STAUNTON,OFFER IN COMPROMISE,3/31/2011,N,11/18/2011,,,12/21/2011,," $ 31,219.99 ",,,,,"CHG 1 DISMISSED; $19,719.99 TAXES PD; $4000 COSTS OF INVESTIGATION; & $10,000 CIVIL PENALTY ACROSS 3 LICENSES.",,6 MOS OF BD. ORDER
332,KYSELA PETE ET FILS,73090,130 W5 12 & 12A WINDY HILL AVENUE,WINCHESTER,VA,22602,"BETWEEN  OCTOBER15,2007 & MARCH 31,2011, THE LICENSEE DEFRAUDED THE BOARD BY MAKING OF FILING A REPORT REQUIRED BY STATUE WHICH IS FRAUDULENT OR CONTAINS A FLASE REPRESENTATION OF A MATERIAL FACT; SOLD WINE TO RETAIL LICENSEE AND FAILED TO PAY THE STATE WINE TAX; FAILED TO KEEP COMPLETE, ACCURATE AND SEPARATE RECORDS; SOLD WINE TO UNAUTHORIZED PERSONS",4,N,STAUNTON,OFFER IN COMPROMISE,3/31/2011,N,11/18/2011,,,12/21/2011,," $ 31,219.99 ",,,,,"CHG 1 DISMISSED; $19,719.99 TAXES PD; $4000 COSTS OF INVESTIGATION; & $10,000 CIVIL PENALTY ACROSS 3 LICENSES.",,
333,KYSELA PETE ET FILS,74533,130 W5 12 & 12A WINDY HILL AVENUE,WINCHESTER,VA,22602,"THE PERMIT HOLDER ALLOWED THE PRIVILEGES GRANTED UNDER THE ""OUT OF BOND CERTIFICATE OF APPROVAL"" TO BE USED FOR THE RELEASE OF ALCOHOLIC BEVERAGES, UNT UNDER U.S. CUSTOMS BOND OR INTERNAL REVENUE BOND, TO A PERSON NOT AUTHORIZED TO RECEIVE SAME AND IN A MANNER NOT ALLOWED",1,N,STAUNTON,OFFER IN COMPROMISE,3/31/2011,N,11/18/2011,,,12/21/2011,," $ 2,500.00 ",,,,,,,
318,340 QUICK MART,40738,304 N BUCKMARSH ST,BERRYVILLE,VA,22611,UAB X3,3,Y,STAUNTON,INITIAL HEARING,2/28/2011,Y,7/29/2011,10/20/2011,11/10/2011,12/15/2011,30," $ 4,000.00 ",10,,,,,,
355,STATELINE DOLLAR SAVER,67510,"4740 MARTYINSBURG PIKE, SUITE 9",CLEARBROOK,VA,22624,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,11/28/2011,N,12/2/2011,,,1/3/2012,," $ 2,000.00 ",,,,,,,
188,7 ELEVEN STORE 2531 34022H,53682,251 CROOKED RUN PLAZA,FRONT ROYAL,VA,22630,UAB,1,N,STAUNTON,INITIAL HEARING,6/9/2011,N,7/20/2011,9/8/2011,9/27/2011,11/1/2011,25," $ 2,000.00 ",,,,,,,
461,BIG ALS,38372,10 SOUTH STREET,FRONT ROYAL,VA,22630,UAB,1,N,STAUNTON,OFFER IN COMPROMISE,7/1/2011,N,12/28/2011,,,2/15/2012,," $ 1,500.00 ",,,,,,,
535,7 ELEVEN STORE 2531-18360 H,17558,138 W 14TH STREET,FRONT ROYAL,VA,22630,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,3/6/2012,N,3/14/2012,,,4/10/2012,," $ 2,000.00 ",,,,,,,
674,WILCO #708,55277,1710 N SHENANDOAH AVE.,FRONT ROYAL,VA,22630,UAB,1,Y,STAUNTON,APPEAL HEARING,12/8/2011,N,12/22/2011,3/6/2012,4/25/2012,6/29/2012,," $ 3,500.00 ",,,,,,,
673,WAYSIDE INN,61218,7783 MAIN STREET,MIDDLETOWN,VA,22645,UAB,1,N,STAUNTON,APPEAL HEARING,11/28/2011,N,12/27/2011,3/7/2012,4/25/2012,6/29/2012,10, $ 500.00 ,,,,,ABC APPROVED TRAINING,,
610,THE CORNER BAR & GRILL,45615,1429 S PIFER RD,STAR TANNERY,VA,22654,ESTABLISHMENT CEASES TO QUALIFY AS A RESTAURANT X2; LICENSEE DEFRAUDED OR ATTEMPTED TO DEFRAUD THE BOARD BY FILING A REPORT WHICH WAS FRAUDULENT; FAIL TO SUBMIT COMPLETE AND ACCURATE ANNUAL REVIEW REPORT,4,N,STAUNTON,INITIAL HEARING,4/30/2011,Y,6/10/2011,6/6/2012,4/27/2012,6/4/2012,7, $ 750.00 ,,,,Y,CH 2 & 3 DISMISSED,,
382,COOK'S TRAVEL CENTER,16923,446 W RESERVOIR ROAD,WOODSTOCK,VA,22664,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,11/14/2011,N,12/2/2011,,,1/9/2012,," $ 2,000.00 ",,,,,,,
407,ALDI FOODS #09,45880,15179 MONTANUS DRIVE,CULPEPER,VA,22701,UAB,1,N,STAUNTON,OFFER IN COMPROMISE,11/16/2011,N,12/6/2011,,,1/11/2012,," $ 1,000.00 ",,,,,,,
493,PEPPERS,49838,791 MADISON ROAD,CULPEPER,VA,22701,UAB,1,N,STAUNTON,OFFER IN COMPROMISE,11/16/2011,Y,12/5/2011,,,3/19/2012,," $ 1,000.00 ",,,,,,,
237,THE LITTLE COUNTRY STORE,19114,107 CHRUCH HILL ROAD,ETLAN,VA,22719,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/5/2011,N,10/19/2011,,,11/21/2011,," $ 2,000.00 ",,,,,,,
579,THE INN AT LITTLE WASHINGTON,34589,438 MAIN STREET,WASHINGTON,VA,22747,LICENSEE FAILED TO KEEP LICENSE POSTED IN A CONSPICIOUS PLACE UPON LICENSED PREMISES; LICENSEE PERMITTED SYED ALI TO BE IN CHARGE OF THE BUSINESS AND FAILED TO KEEP HIS NAME POSTED. ,2,N,STAUNTON,CONSENT SETTLEMENT,4/11/2012,N,4/23/2012,,,5/16/2012,," $ 1,000.00 ",,,,,,,
231,1500 S MAIN LIBERTY,45600,1500 S MAIN STREET,HARRISONBURG,VA,22801,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/14/2011,N,10/19/2011,,,11/21/2011,," $ 2,000.00 ",,,,,,,
269,JESS LUNCH,24015,22 S MAIN STREET,HARRISONBURG,VA,22801,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/28/2011,N,11/2/2011,,,12/6/2011,25,,,,,,,,
274,CAMPUS CORNER,32780,810 PORT REPUBLIC ROAD,HARRISONBURG,VA,22801,USB,1,Y,STAUNTON,CONSENT SETTLEMENT,10/21/2011,N,10/31/2011,,,12/6/2011,," $ 2,000.00 ",,,,,,,
330,HOLIDAY INN,41346,1400 E. MARKET STREET,HARRISONBURG,VA,22801,UAB,1,N,STAUNTON,OFFER IN COMPROMISE,10/14/2011,N,10/19/2011,,,12/15/2011,," $ 1,000.00 ",,,,,EMPLOYEES SIGN UP FOR RSVP,,
595,EL RANCHO,67553,68 S CARLTON STREET,HARRISONBURG,VA,22801,LICENSEE FAILED TO HAVE DESIGNATED MANAGER PRESENT AND IN CHARGE OF BUSINESS,1,N,STAUNTON,CONSENT SETTLEMENT,4/3/2012,N,4/9/2012,,,5/24/2012,, $ 500.00 ,,,,,,,
664,EL RANCHO,67553,68 S CARLTON STREET,HARRISONBURG,VA,22801,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,Y,STAUNTON,INITIAL HEARING,12/31/2011,N,4/23/2012,5/16/2012,5/23/2012,6/26/2012,,,,,,,NO PENALTY IMPOSED,,
235,7 ELEVEN STORE 2531 23904 J,30069,380 N MASON STREET,HARRISONBURG,VA,22802,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,10/14/2011,N,11/21/2011,,,11/21/2011,," $ 2,000.00 ",,,,,,,
381,7 ELEVEN STORE 2531-19337H,76249,910 N MAIN STREET,HARRISONBURG,VA,22802,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,10/28/2011,N,11/2/2011, ,,1/9/2012,," $ 2,000.00 ",,,,,,,
621,BROGIES TAVERN,63593,1618 ORKNEY GRADE RD,BASYE,VA,22810,FAIL TO DEMONSTRATE FINANCIAL RESPONSIBILITY; CONVICTED OF ALCOHOL RELATED OFFENSE; FAIL TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,3,Y,STAUNTON,INITIAL HEARING,7/9/2011,Y,10/12/2011,6/2/2012,5/4/2012,6/7/2012,10," $ 2,000.00 ",,,,,,,
16,MAYLAND MARKET,66253,2247 MAYLAND RD,BROADWAY,VA,22815,UAB,1,N,STAUNTON,INITIAL HEARING,3/18/2011,N,4/14/2011,5/26/2011,6/10/2011,7/13/2011,10," $ 1,000.00 ",,,,,,,
294,OTTOBINE COUNTRY STORE,45220,8236 OTTOBINE ROAD,DAYTON,VA,22821,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,10/26/2011,N,11/9/2011,,,12/12/2011,25,,,,,,,,
82,MILLER COORS,53585,RR 4 BOX HWY,ELKTON,VA,22827,MANUFACTURER DISCRIMINATED IN PRICE OF ALCOHOLIC BEVERAGES BETWEEN DIFFERENT WHOLESALERS,1,N,STAUNTON,APPEAL HEARING,3/1/2010,Y,8/4/2010,12/2/2010,2/1/2011,8/4/2011,,,,,,,REMENDED TO HEARING OFFICER,,
247,UNCLE BUCKS FAMILY RESTAURANT,33500,42 E MAIN ST,LURAY,VA,22835,LICENSEE ALLOWED THE CONSUMPTION OF ALCOHOLIC BEVERAGES UPON THE LICENSED PREMISES OTHER THAN IN DINING AREAS; LICENSEE SOLD AN ALCOHOLIC BEVERAGE AUTHORIZED BY THE LICENSE BUT IN AN UNUAUTHORIZED PLACE OR MANNER,2,N,STAUNTON,INITIAL HEARING,5/14/2011,N,8/4/2011,9/8/2011,10/28/2011,11/29/2011,15," $ 2,000.00 ",7,,,,,,
384,MASSANUTTEN WATER PARK,41427,1200 ADVENTURE DRIVE,McGAHEYSVILLE,VA,22840,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,11/7/2011,N,11/23/2011,,,1/9/2012,," $ 2,000.00 ",,,,,,,
171,DORSEYS MARKET,75326,3028 SCENIC HIGHWAY,MOUNT SOLON,VA,22843,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,9/21/2011,N,9/27/2011,,,10/25/2011,," $ 2,000.00 ",,,,,,,
190,29N GREENBRIER DRIVE TEXACO,50072,1245 SEMINOLE TRAIL,CHARLOTTESVILLE,VA,22901,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/5/2011,N,10/12/2011,,,11/4/2011,," $ 2,000.00 ",,,,,,,
223,STOP IN FOOD STORES 67,31992,1220 SEMINOLE TRAIL,CHARLOTTESVILLE,VA,22901,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/12/2011,N,10/18/2011,,,11/15/2011,25,,,,,,,,
252,THE BOATHOUSE OF CHARLOTTESVILLE,54795,101 SEMINOLE CT,CHARLOTTESVILLE,VA,22901,LICENSEE CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY SUFFICIENT TO MEET REQUIREMENTS OF BUSINESS CONDUCTED UNDER LICENSE,1,N,STAUNTON,OFFER IN COMPROMISE,8/25/2011,Y,8/31/2011,,,12/1/2011,," $ 1,000.00 ",,6,,,,,
425,MARKET STREET WINESHOP UPTOWN,12856,230 SHOPPERS WORLD CT,CHARLOTTESVILLE,VA,22901,UAB,1,N,STAUNTON,OFFER IN COMPROMISE,10/5/2011,Y,10/12/2011,,,1/24/2012,," $ 1,500.00 ",,,,,,,
522,SUMMERS MARKET,38497,1601 EARLYSVILLE ROAD,CHARLOTTESVILLE,VA,22901,UAB,1,Y,STAUNTON, CONSENT SETTLEMENT,3/2/2012,N,3/6/2012,,,4/3/2012,," $ 2,000.00 ",,,,,,,
