"Run on 04JAN2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Div No.","Division Name","Sch No.","School Name","Low Grade","High Grade","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Algebra 1 Pass","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Geometry Pass","Geometry Pass","Geometry Proficient","Geometry Advanced","Geometry Pass","Geometry Proficient","Geometry Advanced","Algebra 2 Pass","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","Civics and","Civics and","Civics and","Civics and","Civics and","Civics and","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","World History","World History","World History","World History","World History","World History","World History","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World History","World History","World History","World History","World History","World History","World History","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Biology Pass","Biology Pass","Biology Proficient","Biology Advanced","Biology Pass","Biology Proficient","Biology Advanced","Chemistry Pass","Chemistry Pass","Chemistry Proficient","Chemistry Advanced","Chemistry Pass","Chemistry Proficient","Chemistry Advanced"
123,"Richmond City Public Schools",90,"OPEN HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",100,100,64.86,35.14,97.62,71.43,26.19,98.04,97.22,66.67,30.56,97.56,41.46,56.1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",87.88,80,70,10,96.88,71.88,25,61.36,76.36,67.27,9.09,83.33,78.57,4.76,91.67,95.65,86.96,8.7,94.23,76.92,17.31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",100,100,62.79,37.21,86.84,63.16,23.68,".",".",".",".",".",".",".",94.12,92.31,61.54,30.77,89.13,65.22,23.91,100,94.59,83.78,10.81,94.64,80.36,14.29,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",81.58,72,64,8,".",".",".",86.05,83.33,81.82,1.52,90.2,84.31,5.88,74,77.14,77.14,".",73.77,73.77,"."
123,"Richmond City Public Schools",100,"BELLEVUE MODEL ELEM.","PK",5,66.67,54.55,45.45,9.09,96.97,72.73,24.24,65.79,89.74,69.23,20.51,84.38,62.5,21.88,70,100,66.67,33.33,90.91,51.52,39.39,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",77.27,78.18,50.91,27.27,93.94,21.21,72.73,54.05,71.79,61.54,10.26,81.25,68.75,12.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",97.44,85.71,44.9,40.82,93.75,28.13,65.63,94.59,75.56,53.33,22.22,73.81,45.24,28.57,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",92.68,74,60,14,100,51.52,48.48,63.41,90.91,69.7,21.21,81.25,71.88,9.38,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",130,"OVERBY-SHEPPARD ELEM.","PK",5,42.86,59.09,52.27,6.82,82.98,78.72,4.26,71.43,76.92,59.62,17.31,94.64,78.57,16.07,58,90.24,65.85,24.39,97.73,56.82,40.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",60,79.55,61.36,18.18,95.74,53.19,42.55,54.9,83.02,64.15,18.87,89.29,69.64,19.64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",68.29,76.74,44.19,32.56,93.02,41.86,51.16,58,93.48,58.7,34.78,84,64,20,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",72.34,74.42,60.47,13.95,90.7,55.81,34.88,80.39,80.49,63.41,17.07,82.98,80.85,2.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",170,"BLACKWELL ELEM.","PK",5,56.72,48.33,45,3.33,76.27,57.63,18.64,70.37,72.22,51.85,20.37,65.31,61.22,4.08,67.92,94.59,75.68,18.92,89.19,72.97,16.22,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",63.01,83.05,57.63,25.42,82.76,32.76,50,63.08,75.93,53.7,22.22,84,78,6,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80,87.23,31.91,55.32,77.55,51.02,26.53,73.33,91.11,64.44,26.67,77.27,43.18,34.09,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",56.52,70.83,41.67,29.17,75.51,55.1,20.41,74.63,94.87,76.92,17.95,80,77.5,2.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",200,"WILLIAM FOX ELEM.","PK",5,86.42,87.04,55.56,31.48,86.49,51.35,35.14,97.78,98.31,35.59,62.71,98.31,42.37,55.93,97.78,94.92,52.54,42.37,100,37.5,62.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.83,92.73,18.18,74.55,98.65,22.97,75.68,97.87,95,58.33,36.67,94.92,54.24,40.68,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",94.94,96.43,14.29,82.14,95.95,36.49,59.46,85.71,95.83,31.94,63.89,86.44,20.34,66.1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.75,96.43,25,71.43,97.3,43.24,54.05,97.83,100,43.33,56.67,100,50.85,49.15,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",210,"SWANSBORO ELEM.","PK",5,69.81,54.35,54.35,".",62.79,62.79,".",85.71,71.7,54.72,16.98,73.81,59.52,14.29,83.78,93.02,67.44,25.58,92.5,80,12.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",84.21,82.61,58.7,23.91,81.4,53.49,27.91,73.17,61.54,51.92,9.62,76.19,71.43,4.76,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",72.55,93.48,34.78,58.7,86.05,48.84,37.21,87.18,90,66,24,93.55,58.06,35.48,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",86.79,89.13,73.91,15.22,88.37,67.44,20.93,78.05,61.11,57.41,3.7,87.8,68.29,19.51,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",230,"GINTER PARK ELEM.","PK",5,69.89,83.33,70.83,12.5,80,61.18,18.82,72.41,89.58,58.33,31.25,91,76,15,80.52,95.29,77.65,17.65,97.78,72.22,25.56,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79.57,94.44,47.22,47.22,95.24,39.29,55.95,61.29,87.5,76.04,11.46,82,69,13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.41,95.08,22.95,72.13,97.4,35.06,62.34,89.01,98.92,61.29,37.63,94.37,43.66,50.7,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",83.87,95,51.67,43.33,92.21,46.75,45.45,63.04,88.51,68.97,19.54,86.52,73.03,13.48,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",290,"GEORGE MASON ELEM.","PK",5,47.95,75,57.5,17.5,88.37,67.44,20.93,59.57,93.33,62.22,31.11,88.89,77.78,11.11,71.11,97.44,56.41,41.03,100,62.5,37.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",66.22,90,17.5,72.5,95.35,41.86,53.49,73.47,88.89,55.56,33.33,93.33,70,23.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",36.67,100,6.45,93.55,100,".",100,21.62,97.14,25.71,71.43,100,14.81,85.19,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",54.17,96.77,25.81,70.97,94.12,52.94,41.18,52.73,94.74,89.47,5.26,94.74,78.95,15.79,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",311,"GEORGE W. CARVER ELEM.","PK",5,38.2,19.7,19.7,".",43.84,43.84,".",64.38,40.63,35.94,4.69,47.54,44.26,3.28,80.56,64.71,64.71,".",70.21,61.7,8.51,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",44.44,60.56,54.93,5.63,75.34,41.1,34.25,44.83,44.62,40,4.62,40.98,37.7,3.28,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",42.05,50,39.06,10.94,61.54,40,21.54,70.77,80,58.33,21.67,78.46,61.54,16.92,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",48.35,40.91,40.91,".",53.03,43.94,9.09,55.81,69.09,69.09,".",57.14,53.06,4.08,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",330,"OAK GROVE/BELLEMEADE ELEM","PK",5,42.86,87.67,69.86,17.81,".",".",".",70.97,93.33,52,41.33,".",".",".",77.42,100,64.29,35.71,100,55.77,44.23,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",82.26,97.26,47.95,49.32,".",".",".",64.94,85.33,70.67,14.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.41,100,29.51,70.49,".",".",".",79.1,96.08,37.25,58.82,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",65,96.72,52.46,44.26,".",".",".",89.86,94.74,33.33,61.4,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",340,"PATRICK HENRY ELEM.","PK",5,47.83,35.71,33.33,2.38,66.67,60.61,6.06,76.32,83.33,66.67,16.67,53.33,51.11,2.22,89.19,100,61.54,38.46,90.63,65.63,25,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",54.17,66.67,58.33,8.33,71.88,46.88,25,78.57,51.11,42.22,8.89,55.56,51.11,4.44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",35.29,65.71,48.57,17.14,90.32,70.97,19.35,69.05,96.97,63.64,33.33,82.35,47.06,35.29,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",45.65,54.29,42.86,11.43,81.25,62.5,18.75,63.64,88.89,66.67,22.22,65.71,62.86,2.86,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",390,"J. E. B. STUART ELEM.","PK",5,66.23,90.63,82.81,7.81,98.11,60.38,37.74,85.9,90,57.5,32.5,97.14,82.86,14.29,86.84,97.4,54.55,42.86,100,61.97,38.03,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.31,87.88,54.55,33.33,100,28.3,71.7,79.07,75.31,54.32,20.99,91.43,77.14,14.29,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",64.47,93.55,45.16,48.39,98.11,20.75,77.36,90.54,92.19,42.19,50,95.59,45.59,50,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",81.01,91.94,58.06,33.87,100,32.08,67.92,78.16,80.72,56.63,24.1,100,72.73,27.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",452,"RICHMOND COMMUNITY HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",100,100,26.09,73.91,100,38.89,61.11,100,100,50,50,100,45.71,54.29,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",100,".",".",".",".",".",".",80.65,100,73.08,26.92,98,74,24,70,100,68,32,100,31.25,68.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.75,100,76.74,23.26,97.56,68.29,29.27,".",".",".",".",".",".",".",92.31,84,68,16,90.91,78.79,12.12,".",80.65,70.97,9.68,96.15,80.77,15.38,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",100,92.31,7.69,".",".",".",100,89.66,89.66,".",100,90,10
123,"Richmond City Public Schools",460,"REAL SCHOOL",4,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",37.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",20,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",42.86,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",470,"HENDERSON MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",67.12,69.74,59.21,10.53,72.39,66.87,5.52,71.97,88.32,84.67,3.65,67.14,63.57,3.57,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",100,100,".",".",".",".",80.61,81.25,73.75,7.5,83.24,80.45,2.79,100,100,77.27,22.73,100,70.37,29.63,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.21,".",".",".",".",".",".",".",".",".",84.91,47.8,37.11,68.03,40.82,27.21,".",".",".",90.4,59.2,31.2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",77.71,86.18,81.3,4.88,95.07,84.51,10.56,100,85.37,82.93,2.44,100,80,20,".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",480,"THOMAS C. BOUSHALL MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",37.23,53.4,48.69,4.71,54.66,53.42,1.24,53.21,73.86,72.55,1.31,60,60,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",56.48,61.2,56.28,4.92,78.62,69.81,8.81,100,100,88.24,11.76,100,59.09,40.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",40.12,".",".",".",".",".",".",".",".",".",24.39,23.9,0.49,34.65,28.07,6.58,".",".",".",28.86,27.86,1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",59.33,68.94,64.6,4.35,72.39,69.4,2.99,77.27,80.95,80.95,".",100,95,5,".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",510,"SUMMER HILL/RUFFIN ROAD","PK",5,51.61,36.51,34.92,1.59,78.38,59.46,18.92,58.57,54.43,48.1,6.33,75.86,72.41,3.45,45.45,71.25,62.5,8.75,88,74,14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",68.75,80,55.38,24.62,92,34.67,57.33,52,45.68,41.98,3.7,51.72,39.66,12.07,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",59.32,73.02,49.21,23.81,85.53,23.68,61.84,50,69.33,49.33,20,72.46,46.38,26.09,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",68.25,65.08,53.97,11.11,82.89,46.05,36.84,56.34,50,46.15,3.85,68.97,63.79,5.17,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",580,"MARY MUNFORD ELEM.","PK",5,79.71,84.21,63.16,21.05,82.14,48.21,33.93,92.73,93.33,48.33,45,87.69,60,27.69,96.3,98.31,59.32,38.98,96.88,42.19,54.69,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.14,92.98,28.07,64.91,91.23,21.05,70.18,94.74,95,61.67,33.33,93.85,53.85,40,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.28,98.25,21.05,77.19,94.55,34.55,60,86.96,90.41,45.21,45.21,96.55,29.31,67.24,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",87.32,98.28,44.83,53.45,92.73,38.18,54.55,91.23,95,58.33,36.67,90.48,65.08,25.4,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",600,"JOHN B. CARY ELEM.","PK",5,63.89,64.1,61.54,2.56,75.68,62.16,13.51,80.7,92.45,50.94,41.51,88.64,70.45,18.18,81.36,100,59.62,40.38,100,54.55,45.45,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80,75,62.5,12.5,86.11,47.22,38.89,56.14,84.31,58.82,25.49,86.67,68.89,17.78,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.89,90,42.5,47.5,76.32,31.58,44.74,91.07,94.59,37.84,56.76,88.64,45.45,43.18,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",77.78,90,70,20,81.58,42.11,39.47,87.72,90.2,66.67,23.53,79.55,65.91,13.64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
123,"Richmond City Public Schools",620,"ARMSTRONG HIGH","PK",12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",16.67,100,100,".",".",".",".",".",".",".",".",".",".",".",90.2,80,68.57,11.43,".",".",".",94.92,76.6,73.4,3.19,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.5,62.5,".",".",".",".",51.28,62.38,61.39,0.99,".",".",".",81.48,61.4,61.4,".",".",".",".",62.86,64.29,57.14,7.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",65.08,62,59,3,".",".",".",".",100,".",100,".",".",".",59.86,68.13,51.65,16.48,".",".",".",56.12,45,45,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",64.71,60.27,57.53,2.74,".",".",".",66.67,60.26,58.97,1.28,".",".",".",25,58.33,58.33,".",".",".","."
123,"Richmond City Public Schools",621,"FRANKLIN MILITARY ACADEMY",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",50,50,".",".",".",".",".",".",".",".",".",".",".",95.65,88.89,88.89,".",85,82.5,2.5,100,86.11,86.11,".",66.67,66.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",50,66.67,66.67,".",".",".",".",78.95,73.58,66.04,7.55,83.93,75,8.93,70.59,68.57,65.71,2.86,84.62,71.15,13.46,81.82,92.31,92.31,".",93.33,86.67,6.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",48.48,94.87,79.49,15.38,94.12,70.59,23.53,".",".",".",".",".",".",".",28.09,66.67,63.64,3.03,93.51,57.14,36.36,50,43.48,43.48,".",100,95.83,4.17,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.75,76.67,76.67,".",77.78,72.22,5.56,54.05,77.14,77.14,".",68.12,68.12,".",26.67,63.64,63.64,".",65,65,"."
123,"Richmond City Public Schools",650,"WOODVILLE ELEM.","PK",5,73.42,58.82,43.14,15.69,78.57,73.21,5.36,62.67,69.33,56,13.33,72.88,66.1,6.78,58.21,72.22,66.67,5.56,93.75,64.58,29.17,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",71.79,72.41,63.79,8.62,85.96,50.88,35.09,57.83,82.93,75.61,7.32,89.83,72.88,16.95,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",76.12,85.42,60.42,25,89.36,51.06,38.3,87.06,95.92,38.78,57.14,90.7,62.79,27.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.67,85.42,77.08,8.33,86.96,78.26,8.7,70.89,67.65,58.82,8.82,86,80,6,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
