,,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City
67800,Lexington Fire Dept.,Lexington,2008,23,0,9,32,5,5
,Lexington,1,,23,0,9,32,,
68000,Lynchburg Fire Dept.,Lynchburg,2008,"6,052",4,23,"6,079",12,12
,Lynchburg,1,,"6,052",4,23,"6,079",,
68301,Manassas Volunteer Fire Company,Manassas,2008,"1,052",1,733,"1,786",11,11
,Manassas,1,,"1,052",1,733,"1,786",,
68509,Manassas Park Fire Dept.,Manassas Park,2008,957,3,981,"1,941",12,12
,Manassas Park,1,,957,3,981,"1,941",,
69000,Martinsville Fire Dept.,Martinsville,2008,"2,588",4,41,"2,633",12,12
,Martinsville,1,,"2,588",4,41,"2,633",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 34 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
70001,Newport News Fire Dept.,Newport News,2008,"12,060",64,48,"12,172",12,12
,Newport News,1,,"12,060",64,48,"12,172",,
71000,Norfolk Fire & Paramedical Serv.,Norfolk,2008,"21,360",1,5,"21,366",12,12
,Norfolk,1,,"21,360",1,5,"21,366",,
72000,Norton Fire Dept.,Norton,2008,101,0,0,101,12,12
,Norton,1,,101,0,0,101,,
73000,Petersburg Fire Rescue & Emergency Svc,Petersburg,2008,"4,050",33,112,"4,195",12,12
,Petersburg,1,,"4,050",33,112,"4,195",,
73500,Poquoson Fire/Rescue Dept.,Poquoson,2008,419,0,7,426,12,12
,Poquoson,1,,419,0,7,426,,
74000,Portsmouth Fire & Rescue,Portsmouth,2008,"16,655",3,39,"16,697",12,12
,Portsmouth,1,,"16,655",3,39,"16,697",,
75000,Radford Fire Dept.,Radford,2008,711,0,7,718,12,12
,Radford,1,,711,0,7,718,,
76000,Richmond Dept. Fire/Emerg. Svcs.,Richmond,2008,"26,768",34,24,"26,826",12,12
,Richmond,1,,"26,768",34,24,"26,826",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 35 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
77000,Roanoke Fire-EMS,Roanoke City,2008,"23,617",12,206,"23,835",12,12
,Roanoke City,1,,"23,617",12,206,"23,835",,
77500,Salem Fire Dept.,Salem,2008,"2,018",1,43,"2,062",12,12
,Salem,1,,"2,018",1,43,"2,062",,
78000,South Boston Fire Dept.,Halifax Co.,2008,"1,571",0,10,"1,581",12,12
,Halifax Co.,1,,"1,571",0,10,"1,581",,
79000,Staunton Fire Dept.,Staunton,2008,"2,211",0,241,"2,452",12,12
,Staunton,1,,"2,211",0,241,"2,452",,
80000,Suffolk Fire & Rescue Dept.,Suffolk,2008,"11,095",3,64,"11,162",12,12
80001,Chuckatuck Vol. Fire Dept.,Suffolk,2008,86,0,13,99,12,12
80002,Driver Vol. Fire Dept.,Suffolk,2008,177,0,25,202,12,12
80003,Holland Vol. Fire Dept.,Suffolk,2008,4,0,126,130,12,12
80004,Whaleyville Vol. Fire Dept.,Suffolk,2008,14,0,70,84,12,12
,Suffolk,5,,"11,376",3,298,"11,677",,
81000,Virginia Beach Fire Dept.,Virginia Beach,2008,"27,821",55,30,"27,906",12,12
,Virginia Beach,1,,"27,821",55,30,"27,906",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 36 of 37
Year,2008,,,,,,,,,
FDID,Organization,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
82000,Waynesboro Fire Dept.,Waynesboro Fire Dept.,Waynesboro,2008,"2,201",5,44,"2,250",12,12
,Waynesboro,Waynesboro,1,,"2,201",5,44,"2,250",,
83000,Williamsburg Fire Dept.,Williamsburg Fire Dept.,Williamsburg,2008,"2,485",0,467,"2,952",12,12
,Williamsburg,Williamsburg,1,,"2,485",0,467,"2,952",,
84000,Winchester Fire & Rescue,Winchester Fire & Rescue,Winchester,2008,"4,753",1,551,"5,305",12,12
,Winchester,Winchester,1,,"4,753",1,551,"5,305",,
92002,Metropolitan Washington Airports Auth.,Metropolitan Washington Airports Auth.,Washington DC,2008,"4,766",0,"1,053","5,819",12,12
92005,Richmond Int'l Airport Fire Dept.,Richmond Int'l Airport Fire Dept.,Henrico Co.,2008,498,0,2,500,12,12
92007,Shenandoah Valley Airport Fire,Shenandoah Valley Airport Fire,Augusta Co.,2008,7,0,1,8,6,10
92008,Lynchburg Regional Airport,Lynchburg Regional Airport,Lynchburg,2008,28,0,0,28,10,12
,Washington DC,Washington DC,4,,"5,299",0,"1,056","6,355",,
Summary for 'Year' =,Summary for 'Year' =,2008 (490 detail records),,,,,,,,
Sum,,,,,"619,549",582,"36,957","657,088",,
Grand Total,,,,,"619,549",582,"36,957","657,088",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 37 of 37
