RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
337,7 ELEVEN STORE 2554 10776 B,55077,12520 GORDON BLVD,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/9/2009,11/09/09,," $ 2,000.00 ",,,,,
360,GLOBAL FOOD,27819,13813 FOUGLER SQUARE,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/9/2009,11/24/09,," $ 2,000.00 ",,,,,
730,OLD HICKORY GOLF CLUB,26973,11921 CHANCEFORD DR,WOODBRIDGE,VA,22192,KEPT AB NOT AUTHORIZED TO SELL,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/4/2010,03/29/10,, $ 500.00 ,,,,,
773,TARGET STORE T 0759,45157,2460 PRINCE WILLIAM PKWY,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/25/2010,04/14/10,," $ 2,000.00 ",,,,,
233,PUPUSERIA EL RINCONCITO LATINO RESTAURANT,41706,4112 DALE BLVD,DALE CITY,VA,22193,"FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT, FINANCIAL RESPONSIBILITY",2,N,ALEXANDRIA,INITIAL HEARING,12/31/2008,09/09/09,7," $ 1,500.00 ",SEE OTHER,,,,SUSPENSION UNTIL LICENSEE COMPLETELY SATISFIES OUTSTANDING TAX INDEBTEDNESS
462,BJs WHOLESALE CLUB 41,77802,14123 NOBLEWOOD PLAZA ,WOODBRIDGE,VA,22193,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/23/2009,01/04/10,," $ 2,000.00 ",,,,,
333,TANDOORI NIGHTS,40420,2800 CLARENDON BLVD,CLARENDON,VA,22201,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,4/30/2009,11/09/09,," $ 1,000.00 ",,,,,
448,SILVER DINER,75469,3200 WILSON BLVD,ARLINGTON,VA,22201,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/27/2009,01/04/10,," $ 2,000.00 ",,,,,
514,HUNAN NUMBER ONE RESTAURANT,44606,3033 WILSON BLVD,ARLINGTON,VA,22201,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,4/30/2009,01/20/10,7, $ 500.00 ,,,,,
598,EURO MARKET,29618,2201 WILSON BLVD,ARLINGTON,VA,22201,PURCHASE OF WINE OR BEER FOR RESALE FROM PERSON OTHER THAN ONE LICENSED IN THE COMMONWEALTH,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/14/2009,02/16/10,, $ 500.00 ,,,,,
667,ELEVENTH STREET,32736,1041 N HIGHLAND STREET,ARLINGTON,VA,22201,FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,6/1/2009,03/02/10,,,,,,Y,DISMISSED
756,DON ARTUROS RESTAURANT,71275,2716 WASHINGTON BLVD,ARLINGTON,VA,22201,KEPT/ALLOWED TO BE KEPT UNAUTHORIZED AB; PURCHASE OTHER THAN,2,N,ALEXANDRIA,INITIAL HEARING,9/2/2009,04/09/10,15," $ 2,500.00 ",,,,,
763,CVS PHARMACY #1407,3669,3133 LEE HWY,ARLINGTON,VA,22201,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/1/2010,04/12/10,," $ 2,000.00 ",,,,,
853,TANNAS MARKET & CAR WASH,54399,1824 WILSON BLVD,ARLINGTON,VA,22201,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/3/2010,05/21/10,," $ 2,000.00 ",,,,,
933,TALLULA RESTARUANT & PLANET EXPRESS WINE SHOP,33417,2761 WASHINGTON BLVD,ARLINGTON,VA,22201,MBAR,1,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,11/30/2009,06/25/10,, $ 500.00 ,,,,,
163,CVS PHARMACY #2491,8893,2400 JEFFERSON DAVIS HWY,ARLINGTON,VA,22202,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/23/2009,08/24/09,," $ 2,000.00 ",,,,,
250,7 ELEVEN STORE 2554 20117 H,25612,1500 S FERN STREET,ARLINGTON,VA,22202,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/23/2009,09/17/09,," $ 2,000.00 ",,,,,
910,LILIAN'S RESTAURANT,52004,525 23RD STREET SOUTH,ARLINGTON,VA,22202,QUALIFICATIONS,1,N,ALEXANDRIA,APPEAL HEARING,8/31/2009,06/16/10,7," $ 1,000.00 ",,,,,
48,MI PUERTO RESTAURANT,27420,77 N GLEBE ROAD,ARLINGTON,VA,22203,"DESIGNATED MANAGER NOT ON DUTY (2 COUNTS), UAB, DESIGNATED MANAGER NOT POSTED",4,N,ALEXANDRIA,INITIAL HEARING,12/16/2008,07/21/09,25," $ 3,500.00 ",,,,,
190,THAI  THERRACE,26358,801 N QUINCY STREET,ARLINGTON,VA,22203,"KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B., RETAILER PURCHASED WINE OR BEER OTHER THAN FROM WHOLESALER, FAILED TO OBLITERATE M.B. STAMPS, RETAILER RECEIVED PROPERTY (UNAUTHORIZED SERVICE) FROM WHOLESLER, FAILED TO KKEP RECORDS 9GENERAL)",5,N,ALEXANDRIA,INITIAL HEARING,6/23/2008,08/31/09,45," $ 7,500.00 ",30,,,,
222,BAILEYS SMOKEHOUSE & TAVERN,38731,4233 WILSON BLVD,ARLINGTON,VA,22203,RETAILER RECEIVED PROPERTY (UNAUTHORIZED SERVICE) FROM WHOLESALER,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,6/20/2009,09/09/09,, $ 500.00 ,,,,,
224,BANGKOK SIAM,666,307 N GLEBE ROAD,ARLINGTON,VA,22203,"FAILED TO OBLITERATE M.B. STAMPS, KEPT M.B. NOT BEARING M.B. STAMPS",2,Y,ALEXANDRIA,INITIAL HEARING,1/14/2009,09/09/09,25," $ 3,500.00 ",10,,,,
436,PIKE GRILL,39096,3902 WILSON BLVD,ARLINGTON,VA,22203,AFTER HOURS CONSUMPTION OF A.B. ON PREMISES-MB LOCALITY,1,Y,ALEXANDRIA,INITIAL HEARING,5/23/2009,12/22/09,15," $ 2,500.00 ",,,,,
564,VAPIANO,45674,4401 WILSON BLVD,ARLINGTON,VA,22203,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/11/2010,02/08/10,," $ 2,000.00 ",,,,,
617,BANGKOK SIAM,666,307 N GLEBE RD,ARLINGTON,VA,22203,MBAR,1,Y,ALEXANDRIA,INITIAL HEARING,4/30/2009,02/16/10,10," $ 2,000.00 ",5,,,,
631,CVS PHARMACY # 1884,58937,256 N GLEBE ROAD,ARLINGTON,VA,22203,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/11/2010,02/24/10,," $ 2,000.00 ",,,,,
671,EL PASO CAFÉ,55699,4235 N PERSHING DR,ARLINGTON,VA,22203,KEPT AB NOT AUTHORIZED TO SELL,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/29/2010,03/03/10,," $ 1,000.00 ",,,,,
112,LALIBELA ETHOPIAN RESTAURANT,19994,3111 COLUMBIA PIKE,ARLINGTON,VA,22204,KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B.,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/14/2009,08/05/09,, $ 500.00 ,,,,,
117,PIKE RESTAURANT,12842,4111 COLUMBIA PIKE,ARLINGTON,VA,22204,KEPT M.B. NOT BEARING MB STAMPS,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/10/2009,08/05/09,," $ 1,000.00 ",,,,,
200,7 ELEVEN STORE 2554 23242 B,56132,3003 COLUMBIA PIKE,ARLINGTON,VA,22204,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/23/2009,09/01/09,," $ 2,000.00 ",,,,,
834,L A BAR AND GRILL,42310,2530 COLUMBIA PIKE,ARLINGTON,VA,22204,DECEIVED THE BOARD; FAILURE TO SUBMIT MBAR,2,N,ALEXANDRIA,OFFER-IN-COMPROMISE,4/30/2009,04/30/10,0," $ 3,000.00 ",,,,,
838,SPORT HOUSE GRILL RESTAURANT,5441,3249 COLUMBIA PIKE,ARLINGTON,VA,22204,"ALLOWED OBSCENE LITERATURE, PICTURES OR MATERIALS UPON LICENSED PREMISES",1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,6/18/2009,04/30/10,0," $ 1,500.00 ",,,,,
916,COTTAGE ETHIPOIAN RESTARUANT,63896,3111 COLUMBIA PIKE,ARLINGTON,VA,22204,FAILED TO OBLITERATE MB STAMPS,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/7/2010,06/18/10,, $ 500.00 ,,,,,
350,YORKTOWN BISTRO,50151,5168 5171 5173 LEE HWY,ARLINGTON,VA,22207,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,12/31/2008,11/13/09,7, $ 500.00 ,,,,,
625,ARROWINE,50497,4508 LEE HWY,ARLINGTON,VA,22207,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/11/2010,02/24/10,," $ 2,000.00 ",,,,,
811,YORKTOWN BISTRO,50151,5169 5171 5173 LEE HWY,ARLINGTON,VA,22207,PURCHASE OTHER THAN MANUFACTURER/BOTTLER/WHOLESALER,1,N,ALEXANDRIA,INITIAL HEARING,11/14/2009,05/07/10,10," $ 1,000.00 ",,,,,
154,CHIPOTLE MEXICAN GRILL,51848,"1735 N LYNN STREET, LBBY 15",ARLINGTON,VA,22209,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/22/2009,08/20/09,," $ 2,000.00 ",,,,,
439,EVENING STAR CAFÉ DAILY PLANET WINE & GOURMET,76888,"2000 MOUNT VERNON AVENUE, STE 2004",ALEXANDRIA,VA,22301,SALE OF AB IN AN UNAUTHORIZED PLACE AND MANNER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/14/2009,01/04/10,," $ 1,000.00 ",,,,,
728,FAST EDDIE'S,54371,5220 RICHMOND HWY,ALEXANDRIA,VA,22303,DOES NOT CONFORM TO REQUIREMENTS OF GOVERNING BODY,1,N,ALEXANDRIA,INITIAL HEARING,7/17/2009,03/30/10,7," $ 1,000.00 ",,,,,
423,FLOYDS BAR & GRILL,47346,5951 STEVENSON AVENUE,ALEXANDRIA,VA,22304,"FAILED TO SUBMIT ANNUAL REVIEW REPORT, PURCHASE OF AB FROM THE BOARD EXCEPT FOR CASH, FINANCIAL RESPONSIBILTY, KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED AB, CONSUMPTION OF UNAUTHORIZED AB",5,Y,ALEXANDRIA,APPEAL HEARING,10/24/2008,12/21/09,30," $ 3,500.00 ",7,,,Y,"CH 1, 2 & 3-CIVIL PENALTY, CH 4 & 5-DISMISSED"
567,CVS PHARMACY #1408,2172,4606 KENMORE AVENUE,ALEXANDRIA,VA,22304,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/23/2009,02/08/10,," $ 2,000.00 ",,,,,
815,HAVANA GRILL,47346,5951 STEVENSON AVENUE,ALEXANDRIA,VA,22304,REFILLED BOTTLES; NO DESIGNATED MANAGER,2,N,ALEXANDRIA,INITIAL HEARING,10/16/2009,05/10/10,15," $ 1,500.00 ",7,,,,
366,GREEN OLIVE BUFFET,32640,7405 RICHMOND HWY,ALEXANDRIA,VA,22306,FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,6/30/2009,11/24/09,," $ 1,000.00 ",,,,,
396,EL RINCON CATRACHO CHICKEN,46654,2911 ARLINGTON DRIVE,ALEXANDRIA,VA,22306,"UAB, DESIGNATED MANAGER NOT ON DUTY",2,N,ALEXANDRIA,OFFER-IN-COMPROMISE,6/25/2009,12/08/09,," $ 2,500.00 ",,,,,
896,THE VILLAGE WHARF,55093,7966 FORT HUNT RD,ALEXANDRIA,VA,22308,FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,7/1/2006,06/10/10,15," $ 1,000.00 ",,,,,
208,CUCO LINDO RESTAURANT,39088,8428 RICHMOND HWY,ALEXANDRIA,VA,22309,"UAB, DESIGNATED MANAGER NOT ON DUTY",2,N,ALEXANDRIA,CONSENT SETTLEMENT,6/25/2009,09/01/09,," $ 2,500.00 ",,,,,
473,BRICKHOUSE FAMILY RESTAURANT,54513,8685 RICHMOND HWY,ALEXANDRIA,VA,22309,FAILED TO OBLITERATE MB STAMPS,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/26/2009,01/04/10,7,,,,,,
553,BRICKHOUSE FAMILY RESTAURANT,54513,8685 RICHMOND HWY,ALEXANDRIA,VA,22309,QUALIFICATIONS-RESTAURANT-M.B,1,N,ALEXANDRIA,INITIAL HEARING,8/20/2009,02/03/10,,,,,,,APPLICATION-LICENSE GRANTED
354,MI RICO PERU,43718,6113 FRANCONIA ROAD,ALEXANDRIA,VA,22310,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/27/2009,11/24/09,25,,,,,,
656,PORTALES RESTAURANT,29517,6148 FRANCONIA ROAD,ALEXANDRIA,VA,22310,FAILURE TO OBLITERATE,1,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,8/27/2009,03/02/10,," $ 4,000.00 ",,,,,
113,BOWL AMERICA SHIRLEY INC,58107,6450 EDSALL ROAD,ALEXANDRIA,VA,22312,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/22/2009,08/05/09,," $ 2,000.00 ",,,,,
447,7 ELEVEN STORE 2554 25143 B,52291,6464 LINCOLNIA ROAD,ALEXANDRIA,VA,22312,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/26/2009,01/04/10,," $ 2,000.00 ",,,,,
188,RESIDENCE INN ALEXANDRIA OLD TOWN,47721,1456 DUKE STREET,ALEXANDRIA,VA,22314,UNAUTHORIZED GIFTS OF A.B.,1,N,ALEXANDRIA,INITIAL HEARING,12/20/2007,08/28/09,,,,,,Y,DISMISSED
359,ZIKRAYET,48628,540 JOHN CARLYLE STREET ,ALEXANDRIA,VA,22314,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/28/2009,11/24/09,, $ 500.00 ,,,,,
628,CVS PHARMACY # 2149,38138,326 KING STREET,ALEXANDRIA,VA,22314,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/29/2010,02/24/10,," $ 2,000.00 ",,,,,
693,ZIKRAYET,48628,540 JOHN CARLYLE STREET ,ALEXANDRIA,VA,22314,"FAILED TO OBLITERATE, KEPT AB NOT AUTHORIZED TO SELL, FAILED TO KEEP RECORDS (X2), PURCHASED FROM UNAUTHORIZED PERSON, KEPT OR ALLOWED TO BE KEPT AB NOT AUTHORIZED TO SELL",6,N,ALEXANDRIA,OFFER-IN-COMPROMISE,1/30/2009,03/16/10,0," $ 4,000.00 ",,,,,
153,7 ELEVEN STORE 2581 10775B,54434,7214 BEULAH STREET,ALEXANDRIA,VA,22315,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/30/2009,08/20/09,," $ 2,000.00 ",,,,,
55,BAILEYS PUB & GRILLE,38737,1861 CARL D SILVER PKWY,FREDERICKSBURG,VA,22401,UAB,1,N,RICHMOND,OFFER-IN-COMPROMISE,5/21/2009,07/28/09,," $ 1,500.00 ",,,,,
87,RISTORANTE PENATO,41093,422 WILLIAM STREET,FREDERICKSBURG,VA,22401,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,5/21/2009,08/05/09,," $ 2,000.00 ",,,,,
150,CARLOS OKELLYS MEXICAN CAFÉ,45822,2306 PLANK ROAD,FREDERICKSBURG,VA,22401,AFTER HOURS CONSUMPTION OF A.B.-MB LOCALITY,1,N,RICHMOND,CONSENT SETTLEMENT,6/20/2009,08/20/09,," $ 1,000.00 ",,,,,
370,CVS PHARMACY #1569,17552,450 CHATHAM HEIGHTS ROAD,FREDERICKSBURG,VA,22405,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,9/29/2009,11/24/09,," $ 2,000.00 ",,,,,
544,TEXACO I7,51501,372 WARRENTON ROAD,FREDERICKSBURG,VA,22405,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,11/11/2009,02/04/10,25,,,,,,
925,STAFFORD CHEVRON,40341,1280 JEFFERSON DAVIS HWY,FREDERICKSBURG,VA,22405,UAB,1,N,RICHMOND,OFFER-IN-COMPROMISE,4/5/2010,06/24/10,," $ 1,500.00 ",,,,,
844,PANCHO VILLA MEXICAN RESTAURANT,43560,"754 WARRENTON RD, STE 103",FREDERICKSBURG,VA,22406,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,4/5/2010,05/13/10,," $ 2,000.00 ",,,,,
605,Q BALL CAFÉ,47764,960 BRAGG ROAD,FREDERICKSBURG,VA,22407,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,11/9/2009,02/18/10,," $ 2,000.00 ",,,,,
680,Q-BALL CAFÉ,47764,960 BRAGG ROAD,FREDERICKSBURG,VA,22407,"LEWD/DISORDERLY; SOLD AB TO INTOXICATED PERSONS; ALLOWED CONSUMPTION BY INTOXICATED PERSONS;FINANCIAL RESPONSIBILITY; FAIL TO KEEP COMPLETE, ACCURATE, SEPARATE RECORDS, MBAR; DEFRAUD BOARD; DECEIVE THE BOARD;",8,N,RICHMOND,INITIAL HEARING,8/19/2009,03/08/10,7, $ 500.00 ,,,,Y,1 CHARGE WITHDRAWN
825,CHIPOTLE MEXICAN GRILL,50924,5420 SOUTHPOINT PLAZA WAY,FREDERICKSBURG,VA,22407,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,4/5/2010,05/05/10,," $ 2,000.00 ",,,,,
852,OZEKI JAPANESE STEAK AND SEAFOOD HOUSE,46308,10119 SOUTHPOINT PKWY,FREDERICKSBURG,VA,22407,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,4/7/2010,05/20/10,," $ 2,000.00 ",,,,,
30,DYNASTY BUFFET,28086,10911 COURTHOUSE ROAD,FREDERICKSBURG,VA,22408,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,5/11/2009,07/17/09,25,   ,,,,,
487,RAMADA INN FREDERICKSBURG SOUTH,42793,5324 JEFFERSON DAVIS HWY,FREDERICKSBURG,VA,22408,"ADVERTISING-HAPPY HOUR, CONDUCT HAPPY HOUR",2,N,RICHMOND,INITIAL HEARING,7/16/2009,01/13/10,7, $ 500.00 ,,,,Y,"CH 1-PENALTY, CH 2-DISMISSED"
494,SPOTSYLVANIA AERIE 4391,245,5100 JAKE MCWHIRT LANE,FREDERICKSBURG,VA,22408,"KEPT OR ALLOWED TO BEKEPT UNAUTHORIZED A.B., SOLE UNAUTHORIZED A.B.-M.B. LICENSE",2,N,RICHMOND,APPEAL HEARING,1/9/2009,01/22/10,," $ 5,000.00 ",60,,,,
589,RAMADA INN FREDERICKSBURG SOUTH,42793,5324 JEFFERSON DAVIS HWY,FREDERICKSBURG,VA,22408,"QUALIFICATIONS, GROSS RECEIPTS LESS THAN 45%, QUALIFICATIONS",3,N,RICHMOND,INITIAL HEARING,7/1/2008,02/03/10,15," $ 1,000.00 ",,,,,CHG. 3 W/D
919,FIESTA SEVEN SUPERMARKET,54654,104 OLD GREENWICH DR,FREDERICKSBURG,VA,22408,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,4/14/2010,06/21/10,," $ 2,000.00 ",,,,,
689,FOOD LION,9809,15432 ROGERS CLARK BLVD,BOWLING GREEN,VA,22427,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,1/29/2010,03/15/10,," $ 2,000.00 ",,,,,
286,CLARKE'S STORE,34464,3057 CLARKES STORE ROAD,SUPPLY,VA,22436,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,8/18/2009,10/16/09,25,,,,,,
856,CENTER CROSS TEXACO,43593,31862 TIDEWATER TRL,CENTER CROSS,VA,22437,UAB,1,Y,RICHMOND,INITIAL HEARING,1/29/2010,05/21/10,30," $ 3,000.00 ",10,,,,
220,FAT FREDAS,47726,119 HAWTHORN STREET,COLONIAL HEIGHTS,VA,22443,UAB,1,N,RICHMOND,OFFER-IN-COMPROMISE,4/20/2009,09/04/09,," $ 1,500.00 ",,,,,PLUS MORE INTENSE TRAINIG TO ALL EMPLOYEES SERVING ALOCOHOL
443,V F W POST 10574,31983,107 HAWTHORNE STREET,COLONIAL HEIGHTS,VA,22443,KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B.,1,N,RICHMOND,CONSENT SETTLEMENT,9/17/2009,01/04/10,, $ 500.00 ,,,,,
37,MOM & POPS,6626,3531 IRVINGTON ROAD,IRVINGTON,VA,22480,UAB,1,Y,RICHMOND,OFFER-IN-COMPROMISE,4/22/2008,07/21/09,," $ 5,000.00 ",3,,,,
476,LEES RESTAURANT,42713,30 N MAIN STREET ,KILMARNOCK,VA,22482,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,10/30/2009,01/04/10,25,,,,,,
327,THE SHORE STORE,27300,5435 PAVILION DRIVE,KING GEORGE,VA,22485,UAB,1,N,RICHMOND,INITIAL HEARING,4/7/2009,11/05/09,25," $ 2,000.00 ",,,,,
346,ROMA PIZZA,42628,5293 PALIVODA DRIVE,KING GEORGE,VA,22485,UAB,1,N,RICHMOND,INITIAL HEARING,4/7/2009,11/13/09,,,,,,Y,DISMISSED
363,LANCASTER TAVERN RESTAURANT LLC,52852,8373 MARY BALL ROAD,LANCASTER,VA,22503,PURCHASE OF A.B. FROM THE BOARD EXCEPT FOR CASH,1,N,RICHMOND,CONSENT SETTLEMENT,7/24/2009,11/24/09,, $ 250.00 ,,,,,
298,ROBINSONS TAVERN,43424,32345 CONSTITUTION HWY,LOCUST GROVE,VA,22508,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,8/20/2009,10/27/09,," $ 2,000.00 ",,,,,
885,LITTLE RIVER MARKET AND DELI,27587,16335 NORTHUMBERLAND HWY,REEDVILLE,VA,22539,UAB,1,N,RICHMOND,OFFER-IN-COMPROMISE,4/9/2010,06/08/10,0, $ 500.00 ,7,,,,
668,SPORTSMANS ONE STOP,61537,5743 COURTHOUSE RD,SPOTSYLVANIA,VA,22551,CONVICTION OF A FELONY OR ANY OTHER CRIME OR OFFENSE INVOLVING MORAL TURPITUDE,1,N,RICHMOND,INITIAL HEARING,8/22/1998,03/02/10,,,,,,,TERMINATED
7,CHINA WOK CHINESE RESTAURANT,11464,"364 GARRISONVILLE ROAD, STE 115",STAFFORD,VA,22554,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,3/19/2009,07/06/09,," $ 2,000.00 ",,,,,
276,7 ELEVEN STORE 2531 16355 A,38254,3623 JEFFERSON DAVIS HWY,STAFFORD,VA,22554,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,8/8/2009,10/16/09,," $ 2,000.00 ",,,,,
604,7 ELEVEN 21272 B ,62223,882 GARRISONVILLE ROAD,STAFFORD,VA,22554,UAB AND FAILED TO HAVE DESIGNATED MANAGER,2,N,RICHMOND,CONSENT SETTLEMENT,11/11/2009,02/18/10,," $ 2,500.00 ",,,,,
417,SUNNYSIDE GROCERY,37470,136 SUNNYSIDE ROAD,TAPPAHANNOCK,VA,22560,UAB (2 COUNTS),2,Y,RICHMOND,INITIAL HEARING,5/15/2009,12/21/09,,,,,,Y,"CH 1, 3 & 4-CIVIL PENALTY, CH 2-DISMISSED"
683,ROMA RISTORANTE ITALIANO,75527,1322 TAPPAHANNOCK BLVD,TAPPAHANNOCK,VA,22560,FAIL OBLITERATE MB STAMPS; KEPT UNAUTHORIZED AB; DEFRAUD THE BOARD; MBAR,4,Y,RICHMOND,INITIAL HEARING,12/1/2005,03/12/10,10," $ 2,000.00 ",,,,Y,DISMISSED
488,ANNAS PIZZA & ITALIAN RESTAURANT BAR & GRILL,11901,27 GORDON LANE,WARSAW,VA,22572,"FAILED TO SUBMIT ANNUAL REVIEW REPORT, FINANCIAL RESPONSIBILITY",2,Y,RICHMOND,INITIAL HEARING,4/30/2009,01/13/10,20," $ 2,500.00 ",7,,,,
828,E & C ENTERPRISES INC VA648,62478,4364 RICHMOND RD,WARSAW,VA,22572,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,4/9/2010,05/05/10,,"$2,000.00",,,,,
216,LANCASTER LANDING,33741,327 OLD FERRY ROAD,WHITE STONE,VA,22578,UAB,1,Y,RICHMOND,INITIAL HEARING,4/24/2009,09/04/09,25," $ 2,500.00 ",7,,,,
45,GOODFELLAS,50602,821 N LOUDOUN STREET,WINCHESTER,VA,22601,"QUALIFICATIONS-""RESTAURANT""-M.B., HAS NOT DEMONSTRATED FINANCIAL RESPONSIBILITY",2,N,STAUNTON,INITIAL HEARING,7/22/2008,07/21/09,,,,,,Y,"APPLICATION-CH1-DISMISSED, CH 2-REFUSED"
46,GOODFELLAS,50602,821 N LOUDOUN STREET,WINCHESTER,VA,22601,"FINANCIAL RESPONSIBILITY, FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION, CONSUMPTION OF A.B. IN AREAS OTHER THAN IN DINING/DESIGNATED AREAS",5,N,STAUNTON,INITIAL HEARING,7/22/2008,07/21/09,15," $ 1,000.00 ",7,,Y,,"CH 1-REVOKED, CH 2-7/$500, CH 3-15/$500/7"
49,RESTAURANT & TAQUERIA LOS COMPADRES,43495,222 E PICCADILLY STREET,WINCHESTER,VA,22601,FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,1,N,STAUNTON,INITIAL HEARING,9/1/2008,07/21/09,7, $ 500.00 ,,,,,
116,HANDY MART #4,11965,601 BERRYVILLE AVENUE,WINCHESTER,VA,22601,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,6/5/2009,08/05/09,," $ 2,000.00 ",,,,,
137,MILANOS RISTORANTE AND BAR,42636,107 W BOSCAWEN STREET,WINCHESTER,VA,22601,UAB,1,Y,STAUNTON,INITIAL HEARING,2/9/2009,08/14/09,30," $ 3,000.00 ",10,,,,
140,HANDY MART #1,11962,2150 S LOUDOUN STREET,WINCHESTER,VA,22601,UAB,1,Y,STAUNTON,INITIAL HEARING,2/9/2009,08/14/09,30," $ 3,000.00 ",10,,,,
407,SHEETZ CONVENIENCE STORE ,71282,601 MILLWOOD AVENUE,WINCHESTER,VA,22601,UAB,1,Y,STAUNTON,OFFER-IN-COMPROMISE,8/5/2009,12/15/09,21," $ 4,000.00 ",3,,,,
429,SONA RESTAURANT,41207,2900 VALLEY AVENUE,WINCHESTER,VA,22601,"QUALIFICATIONS TO RETAIN MB LICENSE-""RESTAURANT""",1,N,STAUNTON,INITIAL HEARING,1/31/2009,12/22/09,,,,,,Y,DISMISSED
766,7 ELEVEN STORE 2531 10640 H,6730,705 N LOUDON ST,WINCHESTER,VA,22601,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,3/2/2010,04/12/10,," $ 2,000.00 ",,,,,
889,RED PANDA BUFFET,26768,2254 VALLEY AVE,WINCHESTER,VA,22601,FAIL TO HAVE DESIGNATED MANAGER,1,Y,STAUNTON,INITIAL HEARING,2/19/2010,06/10/10,7, $ 500.00 ,,,,,
